button	Define um botão clicável
number	Define um campo para número inteiro
text	Define um campo para texto que permite também números e caracteres especiais
date	Define um campo para data
checkbox	Define uma caixa de seleção para múltiplas opções
radio	Define uma caixa de seleção para opção única
password	Define um campo de senha
submit	Define um botão para enviar os dados
tel	Define um campo para telefone
file 	Para anexar arquivos
color	Para escolher uma cor
search 	Barra de pesquisa para pesquisar por algo
